Currency,Date,Closing Price (USD),24h Open (USD),24h High (USD),24h Low (USD)
BTC,03/25/2021,52173.86798,52335.56503,53209.40638,50458.09997
BTC,03/26/2021,54483.04573,51344.04898,54806.88151,51286.29118
BTC,03/27/2021,56234.35611,55067.8244,56520.30729,54022.07694
BTC,03/28/2021,55343.92582,55843.74892,56541.00653,54741.62637
BTC,03/29/2021,57627.67925,55786.54607,58353.52939,54929.68059
BTC,03/30/2021,58734.47543,57613.16126,59379.99216,57069.22927
BTC,03/31/2021,58724.66452,58810.15589,59835.39233,56934.31212
BTC,04/01/2021,58984.61293,58764.43309,59458.98456,57973.3521
BTC,04/02/2021,58821.62699,58726.08457,60101.75233,58478.59835
BTC,04/03/2021,57517.79877,58958.42898,59713.21014,57185.76801
BTC,04/04/2021,58177.40276,57134.86005,58540.98471,56552.22227
BTC,04/05/2021,58843.55954,58230.67554,59243.03618,56846.96905
BTC,04/06/2021,58040.1876,59133.65574,59484.19947,57421.85309
BTC,04/07/2021,56508.94286,58030.62185,58645.77297,55541.90613
BTC,04/08/2021,57880.90568,55996.08036,58179.65686,55758.49118
BTC,04/09/2021,58171.90902,58094.74413,58880.82161,57717.85978
BTC,04/10/2021,59295.95004,58149.65059,61065.22262,57924.07526
BTC,04/11/2021,59822.90168,59765.10382,60588.47197,59229.86011
BTC,04/12/2021,59853.19724,59998.15991,61219.71861,59428.21475
BTC,04/13/2021,63223.88439,59841.56137,63707.34236,59799.44058
BTC,04/14/2021,62926.55718,63562.67354,64801.78787,61400.28397
BTC,04/15/2021,63346.78904,62987.27018,63850.25073,62094.63291
BTC,04/16/2021,61965.7826,63225.09392,63520.32537,60033.53467
BTC,04/17/2021,60574.44473,61444.2325,62534.0285,59802.88927
BTC,04/18/2021,56850.83017,60191.52541,60531.98885,52148.98354
BTC,04/19/2021,56224.10159,56335.38914,57609.36812,54449.24533
BTC,04/20/2021,56608.76975,55723.22726,57121.9439,53442.85166
BTC,04/21/2021,54144.42748,56508.15124,56809.14639,53913.85052
BTC,04/22/2021,51965.05956,53830.82386,55471.07637,50500.73186
BTC,04/23/2021,50669.14438,51714.07397,52111.18507,47467.91203
BTC,04/24/2021,50733.7695,51217.17233,51253.44295,48932.15881
BTC,04/25/2021,48542.9522,50177.2374,50668.65902,47105.59307
BTC,04/26/2021,53558.70784,49139.23095,54398.59279,48854.58137


